STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00013960,"DALLAS FAA AIRPORT, TX US",1/1/2020,8.95,",,W",0,",,W,2400",0,",,W",0,",,W",49,"H,,S",57,",,W",43,",,W",180,",,W",170,",,W",18.1,",,W",25.9,",,W",,,,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/2/2020,8.05,",,W",0,",,W,2400",0,",,W",0,",,W",56,"H,,S",62,",,W",49,",,W",170,",,W",180,",,W",16.1,",,W",21.9,",,W",,,,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/3/2020,10.51,",,W",0,",,W,2400",0,",,W",0,",,W",53,"H,,S",62,",,W",44,",,W",320,",,W",350,",,W",23.9,",,W",30,",,W",1,",,W",1,",,W",,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/4/2020,4.03,",,W",0,",,W,2400",0,",,W",0,",,W",48,"H,,S",60,",,W",36,",,W",60,",,W",60,",,W",12.1,",,W",18.1,",,W",,,,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/5/2020,6.26,",,W",0,",,W,2400",0,",,W",0,",,W",55,"H,,S",72,",,W",39,",,W",270,",,W",270,",,W",17,",,W",23,",,W",,,,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/6/2020,6.49,",,W",0,",,W,2400",0,",,W",0,",,W",52,"H,,S",66,",,W",38,",,W",330,",,W",360,",,W",16.1,",,W",23.9,",,W",,,,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/7/2020,4.47,",,W",0,",,W,2400",0,",,W",0,",,W",51,"H,,S",65,",,W",36,",,W",230,",,W",170,",,W",8.9,",,W",12.1,",,W",,,,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/8/2020,10.74,",,W",0,",,W,2400",0,",,W",0,",,W",53,"H,,S",65,",,W",37,",,W",160,",,W",150,",,W",23,",,W",32,",,W",,,,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/9/2020,12.08,",,W",0,"T,,W,2400",0,",,W",0,",,W",62,"H,,S",71,",,W",58,",,W",160,",,W",150,",,W",21,",,W",29.1,",,W",1,",,W",,,,,,,,,,,,
USW00013960,"DALLAS FAA AIRPORT, TX US",1/10/2020,11.63,",,W",1.1,",,W,2400",0,",,W",0,",,W",68,"H,,S",71,",,W",44,",,W",320,",,W",310,",,W",32,",,W",36.9,",,W",1,",,W",,,1,",,W",,,,,,,,
